Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added
AMLH 63621,Rick Wakeman,Journey To The Centre Of The Earth,A&M Records,"LP, Album, Gat",,1974,449230,WaltersCollectionA,2025-12-16 07:37:37
AMLH 64515,Rick Wakeman,The Myths And Legends Of King Arthur And The Knights Of The Round Table,A&M Records,"LP, Album, Gat",,1975,454652,WaltersCollectionF,2025-12-19 04:42:04
AMLM 66702,Supertramp,Paris,A&M Records,"2xLP, Album",,1980,448302,WaltersCollectionB,2025-12-16 07:39:47
AMLS 68121,Stealers Wheel,Stealers Wheel,A&M Records,"LP, Album",,1972,2084080,WaltersCollectionB,2025-12-16 07:25:26
SP-4546,Roger Daltrey & Rick Wakeman,Lisztomania,A&M Records,"LP, Album, Mon",,1975,778016,WaltersCollectionA,2025-12-16 07:39:17
"AMLH 68439, SP 3707",Nils Lofgren,Night After Night,"A&M Records, A&M Records","2xLP, Album, Gat",,1977,1426063,WaltersCollectionC,2025-12-18 02:01:43
25 046 XOT,Steely Dan,Aja,ABC Records,"LP, Album, Gat",,1977,375921,WaltersCollectionB,2025-12-16 07:49:07
28 488 XAT,Steely Dan,Can't Buy A Thrill,ABC Records,"LP, Album, RE, Gat",,1976,2304620,WaltersCollectionB,2025-12-16 07:28:39
89 604 XOT,Steely Dan,Pretzel Logic,ABC Records,"LP, Album, RE, Gat",,1976,1034609,WaltersCollectionB,2025-12-16 07:53:24
PAS 10004,John Lennon,Imagine,Apple Records,"LP, Album",,0,5691663,WaltersCollectionC,2025-12-18 02:14:30
"FC 35647, AL 35647","Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. I","ARC (3), ARC (3)","LP, Comp, Gat",,1978,27347652,WaltersCollectionH,2025-12-19 05:43:22
200.649,"Herman Brood, Nina Hagen And Lene Lovich",Cha Cha - The Soundtrack,Ariola,"LP, Album",,1979,2564587,WaltersCollectionD,2025-12-18 11:14:31
"201.724, 201 724, 201724",Herman Brood & His Wild Romance,Go Nutz,"Ariola, Ariola, Ariola","LP, Album",,1980,861203,WaltersCollectionD,2025-12-18 11:16:06
3C 064 97237,Patti Smith,Horses,Arista,"LP, Album",,1976,2615805,WaltersCollectionA,2025-12-16 07:47:38
4C 058 60561,Patti Smith Group,Easter,Arista,"LP, Album",,1978,615047,WaltersCollectionA,2025-12-16 07:49:40
600.268,Tom Browne,Funkin' For Jamaica (N.Y.) (Long Version),Arista,"12"", Maxi",,1980,199351,WaltersCollectionD,2025-12-18 11:13:53
AL 4097,Patti Smith Group,Radio Ethiopia,Arista,"LP, Album",,1976,669946,WaltersCollectionA,2025-12-16 07:54:02
"4C 064-62516, 4C064-62516",Patti Smith Group,Wave,"Arista, Arista","LP, Album",,1979,2571247,WaltersCollectionA,2025-12-16 07:54:42
ATL 60 001,Various,Woodstock - Music From The Original Soundtrack And More,Atlantic,"3xLP, Album, MP, M/Print, RE, Gat",,0,4455275,WaltersCollectionD,2025-12-18 11:29:17
"ATL 40 031, SD 8216",Led Zeppelin,Led Zeppelin,"Atlantic, Atlantic","LP, Album, RE",,1980,3050519,WaltersCollectionD,2025-12-18 02:20:32
"60.003, 60 003, 2-902","Crosby, Stills, Nash & Young",4 Way Street,"Atlantic, Atlantic, Atlantic","2xLP, Album",,1971,1501725,WaltersCollectionH,2025-12-19 05:47:47
530055,Jonathan Richman & The Modern Lovers,Live,Beserkley,"LP, Album",,1977,1273047,WaltersCollectionB,2025-12-17 15:52:18
"530050, 53-0050",The Modern Lovers,The Modern Lovers,"Beserkley, Beserkley","LP, Album",,1977,1997477,WaltersCollectionB,2025-12-17 15:47:09
4B058-23708,Raymond van het Groenewoud,Nooit Meer Drinken,Best Seller,"LP, Album",,1977,5336294,WaltersCollectionG,2025-12-19 05:23:18
26122 XOT,Herman Brood & His Wild Romance,Shpritsz,Bubble (2),"LP, Album",,1978,676603,WaltersCollectionD,2025-12-18 11:15:19
"E-STDW 1/2, IE 188 ○ 80684/5",Grand Funk Railroad,Live Album,"Capitol Records, Capitol Records","2xLP, Album, Gat",,1971,2683341,WaltersCollectionG,2025-12-19 05:20:02
"E-STSP 16, 0C 192-82225/6",Bob Seger And The Silver Bullet Band,'Live' Bullet,"Capitol Records, Capitol Records","2xLP, Album",,1976,1747490,WaltersCollectionE,2025-12-19 04:20:49
"198 7 90126 1, 7 90126 1, C1 90126",Tina Turner,Tina Live In Europe,"Capitol Records, Capitol Records, Capitol Records","2xLP, Album, Gat",,1988,960934,WaltersCollectionB,2025-12-17 15:45:59
9128 045,Various,All That Jazz - Music From The Original Motion Picture Soundtrack,Casablanca,"LP, Album",,1979,1526885,WaltersCollectionD,2025-12-18 11:25:11
22025,Fleetwood Mac,The Original Fleetwood Mac / English Rose,CBS,"LP, Album + LP, Album + Comp",,1976,3207062,WaltersCollectionH,2025-12-19 05:52:28
CBS 88272,Santana,Moonflower,CBS,"2xLP, Album, I P",,1977,437962,WaltersCollectionE,2025-12-19 04:23:54
S 63587,Leonard Cohen,Songs From A Room,CBS,"LP, Album",,0,1941471,WaltersCollectionH,2025-12-19 05:45:10
CDN 10,Elvis Costello,Live At The El Mocambo,CBS (2),"LP, Album, Unofficial",,0,2380420,WaltersCollectionI,2025-12-19 06:01:13
"CBS 86003, 86003",Bob Dylan,Desire,"CBS, CBS","LP, Album",,1976,375048,WaltersCollectionH,2025-12-19 05:44:13
"CBS 86005, 86005",Santana,Amigos,"CBS, CBS","LP, Album, Gat",,1976,942874,WaltersCollectionG,2025-12-19 05:20:42
"S 69087, 69087",Leonard Cohen,New Skin For The Old Ceremony,"CBS, CBS","LP, Album",,1974,687265,WaltersCollectionH,2025-12-19 05:46:21
"SBPG 63241, 63241",Leonard Cohen,Songs Of Leonard Cohen,"CBS, CBS","LP, Album, RE, RP",,1971,3156791,WaltersCollectionH,2025-12-19 05:54:19
"CBS 86084, 86084, FC 35730","Earth, Wind & Fire",I Am,"CBS, CBS, ARC (3)","LP, Album, Gat",,1979,821202,WaltersCollectionH,2025-12-19 05:39:02
"69097, CBS 69097, PC 33235",Bob Dylan,Blood On The Tracks,"CBS, CBS, CBS","LP, Album",,1975,374993,WaltersCollectionH,2025-12-19 05:50:22
"CBS 25 264,  25 264,  25264",Nena,Nena,"CBS, CBS, CBS","LP, Album",,1983,295272,WaltersCollectionA,2025-12-16 07:48:21
"CBS 86020, 86020, PC 34423",Santana,Festivál,"CBS, CBS, CBS","LP, Album",,1977,1349595,WaltersCollectionE,2025-12-19 04:24:42
"S 69081, CBS 69081, PC 33050",Santana,Santana's Greatest Hits,"CBS, CBS, CBS","LP, Comp",,1974,409174,WaltersCollectionA,2025-12-16 07:31:43
"S CBS 86042, CBS 86042, 86042",Leonard Cohen,Death Of A Ladies' Man,"CBS, CBS, CBS","LP, Album",,1977,570825,WaltersCollectionH,2025-12-19 05:53:24
"CBS CX 85959, CX 85959, 85959, TC 38200",Billy Joel,The Nylon Curtain,"CBS, CBS, CBS, Family Productions","LP, Album, CX ",,1982,947709,WaltersCollectionF,2025-12-19 04:25:18
"S 64090, C 30103",Leonard Cohen,Songs Of Love And Hate,"CBS, CBS, Stern Musik","LP, Album, Son",,1971,2039298,WaltersCollectionH,2025-12-19 05:53:58
